"No.","Mac Source","Mac Destination","Mac Transmitter","Mac Receiver","BSSID","Time","Ip Source","Ip Destination","Protocol","Length","Info","Retry","Rate","RSSI","Channel","Data"
"13573","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","104.987937","Alfa_90:79:29","Broadcast","802.11","187","Beacon frame, SN=101, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-27 dBm","2462 [BG 11]",""
"13574","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","104.988040","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-31 dBm","2462 [BG 11]","00000000000016d5"
"13575","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","104.998565","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=3908, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-43 dBm","2462 [BG 11]",""
"13576","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.007975","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-31 dBm","2462 [BG 11]","00000000000016d6"
"13577","00:22:6b:9c:93:ba","ff:ff:ff:ff:ff:ff","00:22:6b:9c:93:ba","ff:ff:ff:ff:ff:ff","1a:69:ce:29:7c:64","105.009590","Cisco-Li_9c:93:ba","Broadcast","802.11","93","Beacon frame, SN=1, FN=0, Flags=........, BI=100, SSID=IPSEC","Frame is not being retransmitted","1","-75 dBm","2462 [BG 11]",""
"13578","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.018775","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-33 dBm","2462 [BG 11]","00000000000016d7"
"13579","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.040454","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-35 dBm","2462 [BG 11]","00000000000016d8"
"13580","54:a2:74:4c:8c:e1","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e1","ff:ff:ff:ff:ff:ff","54:a2:74:4c:8c:e1","105.049221","54:a2:74:4c:8c:e1","Broadcast","802.11","295","Beacon frame, SN=3192, FN=0, Flags=........, BI=102, SSID=eduroam","Frame is not being retransmitted","1","-73 dBm","2462 [BG 11]",""
"13581","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","105.051117","155.210.155.182","155.210.155.137","UDP","101","Source port: 52903  Destination port: http-alt","Frame is not being retransmitted","72,2","-35 dBm","2462 [BG 11]","00000000000016d9"
"13582","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","ff:ff:ff:ff:ff:ff","e4:f4:c6:f4:87:ef","105.062472","Netgear_f4:87:ef","Broadcast","802.11","194","Beacon frame, SN=1065, FN=0, Flags=........, BI=100, SSID=wi5-unizar-156","Frame is not being retransmitted","1","-69 dBm","2462 [BG 11]",""
