"No.","Mac Source","Mac Destination","Mac Transmitter","Mac Receiver","BSSID","Time","Ip Source","Ip Destination","Protocol","Length","Info","Retry","Rate","RSSI","Channel","Data"
"2480","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.745148","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","00000000000006f6"
"2481","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.755275","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","00000000000006f7"
"2482","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.775421","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","00000000000006f8"
"2483","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.789151","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","00000000000006f9"
"2484","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.806855","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","00000000000006fa"
"2485","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.817296","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is being retransmitted","52","-25 dBm","2422 [BG 3]","00000000000006fb"
"2486","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","29.822439","Alfa_90:79:29","Broadcast","802.11","187","Beacon frame, SN=1303, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-21 dBm","2422 [BG 3]",""
"2487","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.838377","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","00000000000006fc"
"2488","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.848518","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-23 dBm","2422 [BG 3]","00000000000006fd"
"2489","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.868685","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-23 dBm","2422 [BG 3]","00000000000006fe"
"2490","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.878938","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","00000000000006ff"
"2491","","","","00:c0:ca:90:79:3c","","29.899033","","Alfa_90:79:3c (RA)","802.11","28","Acknowledgement, Flags=........","Frame is not being retransmitted","6","-23 dBm","2422 [BG 3]",""
"2494","","","","00:c0:ca:90:79:3c","","29.997593","","Alfa_90:79:3c (RA)","802.11","28","Acknowledgement, Flags=........","Frame is not being retransmitted","6","-23 dBm","2422 [BG 3]",""
"2495","","","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","","29.997735","Alfa_90:79:29 (TA)","Alfa_90:79:3c (RA)","802.11","46","802.11 Block Ack, Flags=........","Frame is not being retransmitted","6","-23 dBm","2422 [BG 3]",""
"2496","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.997817","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","0000000000000700"
"2497","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.997893","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","0000000000000701"
"2498","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.997898","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","0000000000000702"
"2499","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.997988","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","57,8","-25 dBm","2422 [BG 3]","0000000000000700"
"2500","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.997993","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","57,8","-25 dBm","2422 [BG 3]","0000000000000701"
"2501","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.997994","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","57,8","-25 dBm","2422 [BG 3]","0000000000000702"
"2502","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.997996","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","57,8","-25 dBm","2422 [BG 3]","0000000000000703"
"2503","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.998006","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","57,8","-25 dBm","2422 [BG 3]","0000000000000704"
"2504","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.998011","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","57,8","-25 dBm","2422 [BG 3]","0000000000000705"
"2505","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.998154","155.210.155.182","155.210.155.137","UDP","101","Source port: 63791  Destination port: http-alt","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]","0000000000000706"
"2506","","","","00:c0:ca:90:79:3c","","29.998543","","Alfa_90:79:3c (RA)","802.11","28","Acknowledgement, Flags=........","Frame is not being retransmitted","6","-23 dBm","2422 [BG 3]",""
"2507","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","29.998614","2c:56:dc:26:17:77","Alfa_90:79:3c","ARP","101","155.210.155.182 is at 2c:56:dc:26:17:77","Frame is not being retransmitted","65","-25 dBm","2422 [BG 3]",""
