"No.","Mac Source","Mac Destination","Mac Transmitter","Mac Receiver","BSSID","Time","Ip Source","Ip Destination","Protocol","Length","Info","Retry","Rate","RSSI","Channel","Data"
"5889","28:d2:44:54:2a:1b","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","55.296299","155.210.155.114","255.255.255.255","DB-LSP-DISC","293","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5890","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","55.297949","Alfa_90:79:29","Broadcast","802.11","187","Beacon frame, SN=14, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5891","28:d2:44:54:2a:1b","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","55.300410","155.210.155.114","255.255.255.255","DB-LSP-DISC","293","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-37 dBm","2447 [BG 8]",""
"5892","28:d2:44:54:2a:1b","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","55.302847","155.210.155.114","255.255.255.255","DB-LSP-DISC","293","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5893","28:d2:44:54:2a:1b","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","55.305306","155.210.155.114","255.255.255.255","DB-LSP-DISC","293","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-23 dBm","2447 [BG 8]",""
"5894","38:2c:4a:65:3a:fc","ff:ff:ff:ff:ff:ff","38:2c:4a:65:3a:fc","ff:ff:ff:ff:ff:ff","38:2c:4a:65:3a:fc","55.310355","38:2c:4a:65:3a:fc","Broadcast","802.11","300","Beacon frame, SN=313, FN=0, Flags=........, BI=100, SSID=DespachoPAS","Frame is not being retransmitted","1","-49 dBm","2447 [BG 8]",""
"5895","28:d2:44:54:2a:1b","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","55.312850","155.210.155.114","255.255.255.255","DB-LSP-DISC","293","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5896","28:d2:44:54:2a:1b","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","55.315267","155.210.155.114","155.210.155.255","DB-LSP-DISC","293","Dropbox LAN sync Discovery Protocol","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5897","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.315302","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d51"
"5898","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.315327","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d52"
"5899","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.326470","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d53"
"5900","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.337614","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d54"
"5901","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","55.348066","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=238, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-37 dBm","2447 [BG 8]",""
"5902","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.358020","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d55"
"5903","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.368083","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d56"
"5904","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.388380","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d57"
"5905","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:29","55.398737","Alfa_90:79:29","Broadcast","802.11","187","Beacon frame, SN=19, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-21 dBm","2447 [BG 8]",""
"5906","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.398759","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d58"
"5907","38:2c:4a:65:3a:fc","ff:ff:ff:ff:ff:ff","38:2c:4a:65:3a:fc","ff:ff:ff:ff:ff:ff","38:2c:4a:65:3a:fc","55.411971","38:2c:4a:65:3a:fc","Broadcast","802.11","300","Beacon frame, SN=314, FN=0, Flags=........, BI=100, SSID=DespachoPAS","Frame is not being retransmitted","1","-51 dBm","2447 [BG 8]",""
"5908","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.419073","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d59"
"5909","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.429594","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d5a"
"5910","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","ff:ff:ff:ff:ff:ff","00:c0:ca:90:79:3e","55.450415","Alfa_90:79:3e","Broadcast","802.11","187","Beacon frame, SN=239, FN=0, Flags=........, BI=100, SSID=SEUtest","Frame is not being retransmitted","1","-37 dBm","2447 [BG 8]",""
"5911","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.450535","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d5b"
"5912","2c:56:dc:26:17:77","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","00:c0:ca:90:79:3c","00:c0:ca:90:79:29","55.471009","155.210.155.182","155.210.155.137","UDP","101","Source port: 53776  Destination port: http-alt","Frame is not being retransmitted","72,2","-25 dBm","2447 [BG 8]","0000000000000d5c"
